id,code,nom,nom_norm,lon,lat,epci_id,epci_nom,bassin_vie_id,bassin_vie_nom,zone_emploi_id,zone_emploi_nom,arr_dept_id,arr_dept_nom,dept_id,date,type,parent,date_debut,date_fin,old_type,old_nom,old_nom_norm,old_date_fin
29255,29255,Saint-Méen,SAINT MEEN,-4.258827695792183,48.55475846918131,242900793,Communauté de communes Communauté Lesneven Côte des Légendes,29124,Lesneven,5302,Brest,291,Brest,29,2025-06-26 23:12:28.782023,,,1943-01-01,,,,,
29256,29256,Saint-Nic,SAINT NIC,-4.280456063942703,48.2109980636732,200067247,Communauté de communes Pleyben-Châteaulin-Porzay,29026,Châteaulin,5313,Quimper,292,Châteaulin,29,2025-06-26 23:12:44.312067,,,1943-01-01,,,,,
29257,29257,Saint-Pabu,SAINT PABU,-4.619768501524272,48.562360295163955,242900553,Communauté de communes du Pays des Abers,29178,Ploudalmézeau,5302,Brest,291,Brest,29,2025-06-26 23:12:14.842553,,,1943-01-01,,,,,
29259,29259,Saint-Pol-de-Léon,SAINT POL DE LEON,-3.9886926366049784,48.680475361121445,200067072,Communauté de communes Haut-Léon Communauté,29259,Saint-Pol-de-Léon,5310,Morlaix,293,Morlaix,29,2025-06-26 23:12:13.371279,,,1943-01-01,,,,,
29260,29260,Saint-Renan,SAINT RENAN,-4.623365025914323,48.430519698660405,242900074,Communauté de communes du Pays d'Iroise,29260,Saint-Renan,5302,Brest,291,Brest,29,2025-06-26 23:12:05.053896,,,1943-01-01,,,,,
29261,29261,Saint-Rivoal,SAINT RIVOAL,-3.987760897702914,48.34916096646092,200067197,Communauté de communes Monts d'Arrée Communauté,29105,Landivisiau,5303,Carhaix-Plouguer,292,Châteaulin,29,2025-06-26 23:12:09.980813,,,1943-01-01,,,,,
29262,29262,Saint-Sauveur,SAINT SAUVEUR,-4.0002504043529425,48.44826606176003,242900751,Communauté de communes du Pays de Landivisiau,29105,Landivisiau,5310,Morlaix,293,Morlaix,29,2025-06-26 23:12:13.374941,,,1943-01-01,,,,,
29263,29263,Saint-Ségal,SAINT SEGAL,-4.077580880833642,48.23579389191242,200067247,Communauté de communes Pleyben-Châteaulin-Porzay,29026,Châteaulin,5302,Brest,292,Châteaulin,29,2025-06-26 23:13:02.045083,,,1943-01-01,,,,,
29264,29264,Saint-Servais,SAINT SERVAIS,-4.158215423802612,48.5154220672786,242900751,Communauté de communes du Pays de Landivisiau,29105,Landivisiau,5310,Morlaix,293,Morlaix,29,2025-06-26 23:12:52.489656,,,1943-01-01,,,,,
29265,29265,Sainte-Sève,SAINTE SEVE,-3.8891312597049867,48.560267508334455,242900835,Communauté d'agglomération Morlaix Communauté,29151,Morlaix,5310,Morlaix,293,Morlaix,29,2025-06-26 23:12:59.85335,,,1943-01-01,,,,,
