id,code,nom,nom_norm,lon,lat,is_irisee,arrondissement_code,arrondissement_nom,type,grd_quart_code,grd_quart_nom,in_ctu,commune_id,date,is_main
702590000,702590000,Froideterre,FROIDETERRE,6.525212283553989,47.70042436171061,f,70259,Froideterre,C,7025900,,f,70259,2025-06-26 23:18:19.156704,t
681290000,681290000,Heimsbrunn,HEIMSBRUNN,7.220623144925761,47.724982125012396,f,68129,Heimsbrunn,C,6812900,,f,68129,2025-06-26 23:18:19.110069,t
683480000,683480000,Vieux-Thann,VIEUX THANN,7.127094906059612,47.80501695505895,f,68348,Vieux-Thann,C,6834800,,f,68348,2025-06-26 23:18:19.119076,t
692900401,692900401,Bel-Air 1,BEL AIR 1,4.948005797132843,45.69230696127442,t,69290,Saint-Priest,A,6929004,Bel Air,f,69290,2025-06-26 23:18:19.142905,f
692900402,692900402,Bel-Air 2,BEL AIR 2,4.951130936251392,45.690070134859475,t,69290,Saint-Priest,A,6929004,Bel Air,f,69290,2025-06-26 23:18:19.144901,f
675560000,675560000,Zeinheim,ZEINHEIM,7.489076365163623,48.67842363807739,f,67556,Zeinheim,C,6755600,,f,67556,2025-06-26 23:18:19.10408,t
681480000,681480000,Hundsbach,HUNDSBACH,7.336296755372648,47.59888652077184,f,68148,Hundsbach,C,6814800,,f,68148,2025-06-26 23:18:19.111076,t
692250000,692250000,Saint-Marcel-l'Éclairé,SAINT MARCEL L ECLAIRE,4.422397769992565,45.87423769281843,f,69225,Saint-Marcel-l'Éclairé,C,6922500,,f,69225,2025-06-26 23:18:19.136902,t
704180000,704180000,La Romaine,LA ROMAINE,5.899664568105151,47.53846679855836,f,70418,La Romaine,C,7041800,,f,70418,2025-06-26 23:18:19.16377,t
690890202,690890202,Francheville-Le Bas Nord,FRANCHEVILLE LE BAS NORD,4.771686624811751,45.74432176052695,t,69089,Francheville,A,6908902,Francheville Le Bas,f,69089,2025-06-26 23:18:19.122904,f
